problem_id,problem_text,domain,sub_domain,problem_type
Q00248,Farm land is becoming degraded over time.,Agriculture,Soil Health,Soil Degradation
Q00671,Public buildings do not have toilets suitable for wheelchair users.,Accessibility,Accessible Buildings,Accessible Toilet Shortage
Q00228,Crop growth is affected because the soil lacks nutrients.,Agriculture,Soil Health,Soil Fertility Problem
Q00291,Families do not have reliable access to clean drinking water.,Water Management,Drinking Water,Clean Drinking Water Access
Q00539,Residents face repeated disruptions in power supply.,Energy,Power Reliability,Power Supply Interruption
Q00797,Poor infrastructure is limiting livelihood opportunities.,Rural Livelihood,Rural Infrastructure,Rural Infrastructure Shortage
Q00199,Farmers lack information about suitable crops for their soil.,Agriculture,Crop Management,Crop Selection Problem
Q00597,Road construction has been incomplete for a long time.,Urban Development,Roads,Road Construction Problem
Q00320,Water availability changes frequently in the village.,Water Management,Water Supply,Irregular Water Supply
Q00570,Poor lighting is creating safety problems for residents.,Energy,Street Lighting,Poor Street Lighting
Q00067,Young people have to travel far to access training facilities.,Education,Vocational Training,Training Facility Shortage
Q00232,The soil is not providing enough nutrients for crops.,Agriculture,Soil Health,Soil Fertility Problem
Q00441,Smoke from nearby industries is polluting the air.,Environment,Air Pollution,Industrial Air Pollution
Q00807,Small producers do not have suitable spaces to sell their products.,Rural Livelihood,Rural Infrastructure,Market Infrastructure Problem
Q00260,There are not enough agricultural machines for local farmers.,Agriculture,Agricultural Equipment,Equipment Shortage
Q00427,Litter is scattered throughout the village.,Sanitation,Public Cleanliness,Littering Problem
Q00315,The community needs regular monitoring of water quality.,Water Management,Water Quality,Water Testing Problem
Q00110,Residents struggle to consult a doctor locally.,Healthcare,Doctor Availability,Doctor Shortage
Q00384,Untreated sewage is polluting nearby areas.,Sanitation,Sewage Management,Sewage Treatment Problem
Q00532,Low voltage is damaging electrical appliances.,Energy,Power Reliability,Low Voltage Problem
Q00140,Patients face difficulties getting urgent medical treatment.,Healthcare,Emergency Services,Emergency Service Shortage
Q00068,The local training centre lacks adequate facilities.,Education,Vocational Training,Training Facility Shortage
Q00353,Residents cannot easily access groundwater in the area.,Water Management,Groundwater,Groundwater Access Problem
Q00357,Wells now need to be dug much deeper to find water.,Water Management,Groundwater,Falling Water Table
Q00040,The school needs qualified teachers for specific subjects.,Education,Teacher Availability,Subject Teacher Shortage
Q00031,The school does not have enough teachers for all classes.,Education,Teacher Availability,Teacher Shortage
Q00729,Accessibility information is not clearly provided to citizens.,Accessibility,Public Services Accessibility,Accessibility Information Problem
Q00209,Plant diseases are spreading across farms in the village.,Agriculture,Crop Management,Crop Disease Management
Q00210,Farmers need assistance in identifying and treating crop diseases.,Agriculture,Crop Management,Crop Disease Management
Q00079,Many families struggle to access healthcare services.,Healthcare,Healthcare Access,Healthcare Access Problem
